time,latitude,longitude,depth,mag,place
2016-11-14T12:52:28.940Z,36.6904984,-121.345665,-0.02,1.45,"13km S of Ridgemark, CA"
2016-11-14T12:43:31.284Z,61.7162,-150.4904,67.5,1.6,"24km W of Willow, Alaska"
2016-11-14T12:40:40.440Z,34.5645,-116.2616667,0.27,1.33,"20km SSW of Ludlow, CA"
2016-11-14T12:21:07.370Z,38.7911682,-122.7273331,1.29,1.04,"2km ENE of The Geysers, CA"
2016-11-14T12:13:01.120Z,51.1368,178.8181,40.83,4.5,"92km SSE of Little Sitkin Island, Alaska"
2016-11-14T12:12:44.432Z,63.0439,-151.4368,0,1.7,"105km NW of Talkeetna, Alaska"
2016-11-14T12:03:00.910Z,-42.3885,173.6589,20.15,4.6,"2km NW of Kaikoura, New Zealand"
2016-11-14T12:01:00.170Z,63.0339,-151.5255,0,2,"107km NW of Talkeetna, Alaska"
2016-11-14T12:00:21.950Z,33.4995,-116.427,8.7,0.37,"21km SSW of La Quinta, CA"
2016-11-14T11:52:31.033Z,39.8667,-119.0203,12.5,1,"34km NE of Fernley, Nevada"
2016-11-14T11:38:08.950Z,38.7913322,-122.8243332,5.49,1.33,"6km WNW of The Geysers, CA"
2016-11-14T11:28:35.300Z,38.7576675,-122.856163,2.33,0.59,"8km WSW of The Geysers, CA"
2016-11-14T11:28:16.428Z,36.8241,-116.1207,4.7,0,"57km E of Beatty, Nevada"
2016-11-14T11:24:53.330Z,-42.3876,174.0427,10,4.3,"29km E of Kaikoura, New Zealand"
2016-11-14T11:22:46.360Z,33.9371667,-116.8408333,3.78,0.81,"4km ENE of Banning, CA"
2016-11-14T11:16:25.070Z,21.4283,-117.7173,10,4.9,East central Pacific Ocean
2016-11-14T11:14:20.650Z,-41.7346,174.2425,15.48,4.7,"34km SE of Blenheim, New Zealand"
2016-11-14T11:10:15.971Z,60.8885,-149.2168,15.3,2.5,"31km WNW of Whittier, Alaska"
2016-11-14T11:07:20.500Z,43.8308333,-110.9995,8.22,1.07,"14km NE of Driggs, Idaho"
2016-11-14T10:54:30.030Z,35.0281667,-85.0218333,15.35,2.02,"0km NNE of Apison, Tennessee"
2016-11-14T10:47:48.820Z,34.1086667,-117.4813333,6.97,0.88,"2km WNW of Fontana, CA"
2016-11-14T10:45:58.040Z,19.4936676,-155.7053375,9.69,2.03,"17km ENE of Honaunau-Napoopoo, Hawaii"
2016-11-14T10:42:52.877Z,64.6783,-149.2749,15.5,1.5,"13km NW of North Nenana, Alaska"
2016-11-14T10:20:34.588Z,38.4789,-118.3573,4,0.3,"23km ESE of Hawthorne, Nevada"
2016-11-14T10:18:38.986Z,38.6608,-118.7895,7.8,0.6,"20km NW of Hawthorne, Nevada"
2016-11-14T10:12:17.150Z,51.7599,-175.9429,60.57,4.9,"51km ESE of Adak, Alaska"
2016-11-14T10:06:34.220Z,38.7971649,-122.8433304,3.68,0.97,"7km WNW of The Geysers, CA"
2016-11-14T09:23:50.390Z,39.6063,-120.162,1.1,-0.1,"17km WSW of Cold Springs, Nevada"
2016-11-14T09:20:22.190Z,38.8110008,-122.7736664,0.68,0.53,"4km WSW of Cobb, CA"
2016-11-14T09:17:39.125Z,59.7052,-153.2226,177.6,2.1,"78km W of Anchor Point, Alaska"
2016-11-14T09:09:12.640Z,33.6766667,-116.7555,15.05,1.74,"8km SSW of Idyllwild, CA"
2016-11-14T09:05:54.840Z,34.18,-117.4535,5.85,1.47,"7km SW of Devore, CA"
2016-11-14T08:59:47.856Z,38.4735,-118.183,5.6,0.7,"38km E of Hawthorne, Nevada"
2016-11-14T08:51:51.670Z,33.2501667,-116.4103333,4.3,1,"3km W of Borrego Springs, CA"
2016-11-14T08:51:32.159Z,64.4797,-147.4539,17.6,1.3,"26km W of Salcha, Alaska"
2016-11-14T08:50:25.120Z,33.9848333,-117.1788333,15.27,0.88,"8km S of Redlands, CA"
2016-11-14T08:47:20.930Z,33.363,-116.9651667,29.1,0.65,"9km W of Palomar Observatory, CA"
2016-11-14T08:42:48.120Z,33.498,-116.7658333,8.86,1.47,"11km SW of Anza, CA"
2016-11-14T08:38:58.790Z,-20.7461,-178.5076,570.78,4.8,"22km ESE of Ndoi Island, Fiji"
2016-11-14T08:32:51.450Z,36.9073334,-121.1103363,4.62,2.53,"25km ENE of Ridgemark, CA"
2016-11-14T08:22:33.085Z,63.3208,-149.8536,91.9,1.5,"45km W of Cantwell, Alaska"
2016-11-14T08:21:29.849Z,61.7309,-148.214,0,1.5,"34km ESE of Sutton-Alpine, Alaska"
2016-11-14T08:11:03.630Z,38.8279991,-122.7795029,1.84,0.64,"4km W of Cobb, CA"
2016-11-14T08:07:32.831Z,38.4776,-118.3584,4.1,0.4,"23km ESE of Hawthorne, Nevada"
2016-11-14T07:55:48.310Z,19.1905003,-155.4835052,35.11,1.87,"1km SSW of Pahala, Hawaii"
2016-11-14T07:53:41.010Z,38.8233337,-122.7668304,1.93,0.87,"3km W of Cobb, CA"
2016-11-14T07:45:28.408Z,56.3661,-156.5611,44.1,3.7,"83km NW of Chirikof Island, Alaska"
2016-11-14T07:37:44.770Z,38.8230019,-122.8506699,1.35,0.88,"9km WNW of The Geysers, CA"
2016-11-14T07:34:30.268Z,38.488,-118.3748,3.1,0.3,"22km E of Hawthorne, Nevada"
2016-11-14T07:33:05.060Z,-20.6059,-173.7969,10,4.8,"106km SSE of Pangai, Tonga"
2016-11-14T07:24:09.924Z,63.158,-151.345,0,1.5,"112km NNW of Talkeetna, Alaska"
2016-11-14T07:21:05.170Z,-41.7612,174.2768,20.24,5.3,"38km SE of Blenheim, New Zealand"
2016-11-14T07:20:49.027Z,59.7398,-137.7138,0,2.9,"113km S of Haines Junction, Canada"
2016-11-14T07:13:50.930Z,18.9413338,-155.5446625,41.02,2.46,"27km ESE of Hawaiian Ocean View, Hawaii"
2016-11-14T06:50:59.490Z,34.5718333,-118.0596667,9.97,0.98,"4km ESE of Palmdale, CA"
2016-11-14T06:47:52.460Z,-42.353,173.8551,14.83,5.8,"15km ENE of Kaikoura, New Zealand"
2016-11-14T06:47:31.430Z,44.7773333,-110.989,3.34,0.37,"15km NE of West Yellowstone, Montana"
2016-11-14T06:42:58.930Z,-41.8672,174.3707,8.75,5.1,"52km SE of Blenheim, New Zealand"
2016-11-14T06:03:35.620Z,-6.3257,147.6417,105.51,4.5,"39km NW of Finschhafen, Papua New Guinea"
2016-11-14T06:00:51.657Z,38.4784,-118.3621,3.4,0.2,"23km ESE of Hawthorne, Nevada"
2016-11-14T05:57:52.910Z,38.7883339,-122.7506638,2.15,1.07,"1km NNE of The Geysers, CA"
2016-11-14T05:54:36.240Z,33.4985,-116.7891667,4.61,0.23,"9km NE of Aguanga, CA"
2016-11-14T05:44:29.480Z,33.4773333,-116.4276667,13.58,0.53,"23km SSW of La Quinta, CA"
2016-11-14T05:42:01.876Z,62.9575,-150.9359,111.6,1.6,"82km NNW of Talkeetna, Alaska"
2016-11-14T05:19:13.359Z,62.6244,-149.7755,55,1.6,"37km NNE of Talkeetna, Alaska"
2016-11-14T05:16:31.240Z,-42.4105,173.5358,23.52,4.8,"11km W of Kaikoura, New Zealand"
2016-11-14T05:15:00.118Z,38.4791,-118.3541,4,1,"24km ESE of Hawthorne, Nevada"
2016-11-14T05:06:24.060Z,38.7798347,-122.7501678,1.05,0.52,"0km ENE of The Geysers, CA"
2016-11-14T04:57:20.731Z,38.4786,-118.3548,4.3,0.3,"24km ESE of Hawthorne, Nevada"
2016-11-14T04:39:38.717Z,38.6515,-118.7916,9.9,2,"20km NW of Hawthorne, Nevada"
2016-11-14T04:33:37.170Z,36.0268333,-117.8081667,1.61,0.63,"13km E of Coso Junction, CA"
2016-11-14T04:22:17.663Z,37.2245,-117.16,8.3,0,"49km NW of Beatty, Nevada"
2016-11-14T04:10:17.120Z,-42.1708,174.1034,10,4.5,"43km NE of Kaikoura, New Zealand"
2016-11-14T04:05:45.430Z,-42.3952,173.8489,10,4.5,"13km E of Kaikoura, New Zealand"
2016-11-14T03:46:06.130Z,38.8133316,-122.8130035,2.62,1.33,"6km NW of The Geysers, CA"
2016-11-14T03:40:16.370Z,-41.8977,174.5178,10,4.5,"63km SE of Blenheim, New Zealand"
2016-11-14T03:37:28.350Z,37.3699989,-118.5800018,10.35,1.58,"12km W of West Bishop, CA"
2016-11-14T03:29:06.080Z,38.8323326,-122.8470001,1.48,0.55,"9km NW of The Geysers, CA"
2016-11-14T03:27:28.632Z,64.2732,-149.8227,16.2,1,"48km SW of North Nenana, Alaska"
2016-11-14T03:27:08.890Z,35.4221667,-118.4466667,2.16,1.12,"19km SSE of Bodfish, CA"
2016-11-14T03:27:07.818Z,38.5491,-118.5634,0,0,"5km ENE of Hawthorne, Nevada"
2016-11-14T03:25:25.540Z,38.8031654,-122.7648315,-0.05,0.97,"2km NNW of The Geysers, CA"
2016-11-14T03:07:46.230Z,33.7821667,-116.1215,8.05,0.93,"11km NE of Indio, CA"
2016-11-14T03:00:40.245Z,37.3135,-118.6624,14.2,1.3,"19km WSW of West Bishop, CA"
2016-11-14T02:34:41.370Z,35.279,25.0503,49.18,4,"3km SE of Tilisos, Greece"
2016-11-14T02:18:49.908Z,57.1623,-157.5155,1,3.1,"126km NE of Chignik Lake, Alaska"
2016-11-14T02:12:17.830Z,51.0879,178.8627,35,5.4,"98km SSE of Little Sitkin Island, Alaska"
2016-11-14T02:07:31.830Z,40.5792,73.3447,44.88,4.4,"21km S of Uzgen, Kyrgyzstan"
2016-11-14T01:58:40.040Z,37.3269997,-118.6521683,15.09,2.29,"18km WSW of West Bishop, CA"
2016-11-14T01:57:31.680Z,44.253,-110.8315,3.2,1.46,"23km S of Old Faithful Geyser, Wyoming"
2016-11-14T01:56:35.820Z,33.6653333,-116.9336667,15.17,1.91,"10km SSE of Hemet, CA"
2016-11-14T01:55:53.150Z,44.2356667,-110.8253333,0.86,1.84,"24km S of Old Faithful Geyser, Wyoming"
2016-11-14T01:45:28.334Z,39.3298,-119.9182,11.9,0.3,"9km NNE of Incline Village, Nevada"
2016-11-14T01:40:31.000Z,18.694,-66.6451,13,2.8,"25km NNE of Arecibo, Puerto Rico"
2016-11-14T01:39:58.180Z,34.8276667,-85.1405,8.21,2.35,"10km SSW of Ringgold, Georgia"
2016-11-14T01:39:51.582Z,58.7844,-136.9057,0.1,2.9,"79km WNW of Gustavus, Alaska"
2016-11-14T01:33:44.590Z,42.8255,13.0718,10,4.1,"4km NNW of Norcia, Italy"
2016-11-14T01:33:07.054Z,59.8118,-139.3188,6.2,2.3,"37km NE of Yakutat, Alaska"
2016-11-14T01:30:11.810Z,-42.459,173.8976,10,5.4,"18km ESE of Kaikoura, New Zealand"
2016-11-14T01:28:51.070Z,38.8376656,-122.7854996,0.84,1.01,"5km WNW of Cobb, CA"
2016-11-14T01:28:21.050Z,-42.0687,173.9285,10,5.2,"42km NNE of Kaikoura, New Zealand"
2016-11-14T01:07:40.215Z,37.0805,-117.9156,13.2,0.3,"34km ESE of Big Pine, CA"
2016-11-14T00:55:05.060Z,38.8283348,-122.8066635,0.48,0.56,"7km W of Cobb, CA"
2016-11-14T00:54:46.170Z,38.8578339,-122.8730011,8.18,1.4,"13km WNW of Cobb, CA"
2016-11-14T00:52:53.350Z,37.7201667,-113.1065,1.57,1.49,"6km NW of Cedar City, Utah"
2016-11-14T00:51:34.740Z,34.7933333,-118.911,12.76,1.04,"4km SE of Frazier Park, CA"
2016-11-14T00:49:35.250Z,37.6355019,-119.3516693,12.62,2.09,"23km ESE of Yosemite Valley, CA"
2016-11-14T00:36:24.240Z,37.3528328,-122.2251663,9.96,1.78,"3km SSE of Portola Valley, CA"
2016-11-14T00:34:41.360Z,38.7901649,-122.7779999,1.47,0.9,"2km NW of The Geysers, CA"
2016-11-14T00:34:22.530Z,-42.5856,173.2838,10,6.5,"38km WSW of Kaikoura, New Zealand"
2016-11-14T00:31:30.510Z,35.0425,-117.664,0.28,1.7,"5km NNW of Boron, CA"
2016-11-14T00:28:09.490Z,33.4973333,-116.7901667,5.06,0.69,"9km NE of Aguanga, CA"
2016-11-14T00:25:37.260Z,33.9733333,-117.223,17.13,0.75,"5km N of Moreno Valley, CA"
2016-11-14T00:22:38.730Z,40.3950005,-124.5026703,25,3.23,"28km SW of Ferndale, CA"
2016-11-14T00:16:07.121Z,54.0519,-165.1397,76.2,2.4,"42km ESE of Akutan, Alaska"
2016-11-14T00:04:16.587Z,65.4276,-144.6798,5,1.4,"4km S of Circle Hot Springs Station, Alaska"
2016-11-14T00:03:09.700Z,34.2286667,-117.52,7.78,0.94,"4km SSW of Lytle Creek, CA"
2016-11-14T00:00:03.180Z,36.1121667,-117.8743333,2.44,1.16,"10km NE of Coso Junction, CA"
2016-11-13T23:56:44.750Z,13.8634,120.6928,126.26,4.7,"2km NNW of Hukay, Philippines"
2016-11-13T23:54:58.490Z,-41.7331,174.3299,13.21,4.6,"39km SE of Blenheim, New Zealand"
2016-11-13T23:49:10.260Z,-41.787,174.4717,10,5.2,"52km SE of Blenheim, New Zealand"
2016-11-13T23:40:18.370Z,39.7291667,-111.2458333,1.96,1.42,"20km NE of Fairview, Utah"
2016-11-13T23:39:25.775Z,64.9826,-147.3301,2.8,1.3,"22km NNE of Badger, Alaska"
2016-11-13T23:21:32.582Z,36.811,-115.7897,9,0.2,"69km NNE of Pahrump, Nevada"
2016-11-13T23:17:33.420Z,-42.0947,173.8078,11.92,5,"36km NNE of Kaikoura, New Zealand"
2016-11-13T23:06:35.080Z,33.4865,-116.7966667,3.5,2.13,"8km NE of Aguanga, CA"
2016-11-13T22:46:23.540Z,37.6338348,-119.354332,11.39,2.49,"23km ESE of Yosemite Valley, CA"
2016-11-13T22:36:54.923Z,37.0897,-116.5076,11.7,-0.2,"30km NE of Beatty, Nevada"
2016-11-13T22:32:38.770Z,37.3513336,-122.2226639,10.82,2.15,"3km SSE of Portola Valley, CA"
2016-11-13T22:28:58.410Z,38.8230019,-122.8431702,2.06,1.13,"9km NW of The Geysers, CA"
2016-11-13T22:19:32.130Z,-42.3536,173.0585,10,5.1,"51km W of Kaikoura, New Zealand"
2016-11-13T22:13:36.690Z,38.1802,-118.2037,3.5,1.4,"53km SE of Hawthorne, Nevada"
2016-11-13T22:10:14.760Z,37.6263351,-119.3550034,11.36,2.21,"23km ESE of Yosemite Valley, CA"
2016-11-13T22:09:24.960Z,37.6349983,-119.3560028,10.15,2.06,"22km ESE of Yosemite Valley, CA"
2016-11-13T22:00:02.970Z,37.3981667,-119.3791656,2.31,1.55,"25km ENE of Oakhurst, CA"
2016-11-13T21:58:29.100Z,17.9295,-65.6221,5,3,"24km SW of Esperanza, Puerto Rico"
2016-11-13T21:57:40.440Z,-42.3047,173.7802,10,4.2,"14km NE of Kaikoura, New Zealand"
2016-11-13T21:46:32.410Z,33.1766667,-115.6466667,2.18,1.55,"14km WNW of Calipatria, CA"
2016-11-13T21:17:10.310Z,59.6367,-135.694,0,1.8,"29km NW of Skagway, Alaska"
2016-11-13T21:16:26.930Z,34.1986667,-117.4995,4,0.85,"7km S of Lytle Creek, CA"
2016-11-13T21:10:27.880Z,36.554,-116.0949,10.8,0.2,"39km NNW of Pahrump, Nevada"
2016-11-13T21:05:33.970Z,38.8154984,-122.8755035,26.61,1.63,"11km WNW of The Geysers, CA"
2016-11-13T21:04:41.650Z,38.8373337,-122.8286667,1.82,1.11,"9km W of Cobb, CA"
2016-11-13T21:01:47.830Z,38.774334,-122.8659973,8.24,0.92,"9km W of The Geysers, CA"
2016-11-13T20:59:22.737Z,39.3189,-118.4994,9,1.5,"29km SE of Fallon, Nevada"
2016-11-13T20:52:06.050Z,-6.1041,149.3757,65.17,5.3,"22km WNW of Kandrian, Papua New Guinea"
2016-11-13T20:42:14.490Z,38.7946663,-122.7946701,2.98,1.51,"3km WNW of The Geysers, CA"
2016-11-13T20:22:13.550Z,-42.2914,173.8065,10,4.9,"16km NE of Kaikoura, New Zealand"
2016-11-13T20:14:50.780Z,-42.3703,173.8945,10,4.9,"18km ENE of Kaikoura, New Zealand"
2016-11-13T19:55:51.850Z,38.8330002,-122.8486633,1.79,0.31,"10km W of Cobb, CA"
2016-11-13T19:38:07.070Z,-41.827,174.4443,10,4.6,"53km SE of Blenheim, New Zealand"
2016-11-13T19:37:14.300Z,33.7151667,-116.8278333,15.37,1.17,"7km ESE of Valle Vista, CA"
2016-11-13T19:34:31.536Z,65.404,-144.9283,0.8,1.9,"13km WSW of Circle Hot Springs Station, Alaska"
2016-11-13T19:28:44.000Z,-41.73,174.34,8,5.1,"40km SE of Blenheim, New Zealand"
2016-11-13T19:15:57.698Z,59.8172,-153.247,117.9,2.3,"79km W of Anchor Point, Alaska"
2016-11-13T19:08:39.766Z,38.5993,-118.4715,5.8,0.7,"15km ENE of Hawthorne, Nevada"
2016-11-13T19:06:09.657Z,63.2618,-151.1086,1,1.7,"109km W of Cantwell, Alaska"
2016-11-13T18:59:07.550Z,-42.3626,173.9899,10,5.1,"25km E of Kaikoura, New Zealand"
2016-11-13T18:58:30.900Z,18.6455,-65.2666,59,2.9,"38km N of Culebra, Puerto Rico"
2016-11-13T18:57:22.550Z,34.0418333,-116.9831667,12.28,1.55,"6km E of Yucaipa, CA"
2016-11-13T18:49:24.480Z,-41.99,174.0219,10,4.7,"52km S of Blenheim, New Zealand"
2016-11-13T18:48:09.120Z,19.2036667,-155.4850006,36.01,2.34,"0km WSW of Pahala, Hawaii"
2016-11-13T18:41:14.090Z,36.7208,-116.0976,5,-0.3,"57km N of Pahrump, Nevada"
2016-11-13T18:34:26.060Z,-41.9152,174.2154,10,4.8,"49km SSE of Blenheim, New Zealand"
2016-11-13T18:21:48.229Z,38.4795,-118.3557,4.4,0.3,"23km ESE of Hawthorne, Nevada"
2016-11-13T18:19:06.800Z,17.9002,-65.6163,7,2.5,"26km SW of Esperanza, Puerto Rico"
2016-11-13T18:16:36.880Z,-42.6355,173.2285,10,4.9,"45km SW of Kaikoura, New Zealand"
2016-11-13T18:15:15.492Z,37.1322,-117.2284,16.3,0.2,"48km WNW of Beatty, Nevada"
2016-11-13T18:11:56.420Z,34.5873333,-118.6478333,8.91,0.94,"11km NNW of Castaic, CA"
2016-11-13T18:10:26.740Z,-42.7167,172.9191,10,4.5,"52km NNE of Amberley, New Zealand"
2016-11-13T18:03:43.640Z,38.8221664,-122.8440018,0.35,0.91,"9km WNW of The Geysers, CA"
2016-11-13T18:01:34.306Z,39.3513,-120.004,3.6,0.2,"11km NNW of Incline Village, Nevada"
2016-11-13T17:52:53.590Z,-32.0657,-68.2729,128.98,5.1,"45km S of Caucete, Argentina"
2016-11-13T17:49:55.747Z,37.4113,-117.068,6.6,-0.3,"36km SSE of Goldfield, Nevada"
2016-11-13T17:43:50.080Z,38.8209991,-122.7835007,1.76,1.1,"5km W of Cobb, CA"
2016-11-13T17:39:32.770Z,19.4220009,-155.6174927,2.01,1.82,"26km E of Honaunau-Napoopoo, Hawaii"
2016-11-13T17:37:33.661Z,37.7459,-116.0622,1,0.6,"56km SSE of Warm Springs, Nevada"
2016-11-13T17:21:12.800Z,38.8628349,-122.708168,8.71,0.23,"4km NNE of Cobb, CA"
2016-11-13T17:17:38.660Z,-42.5401,173.8158,10,5.2,"18km SE of Kaikoura, New Zealand"
2016-11-13T16:53:19.710Z,-41.7699,174.2468,14.97,4.6,"37km SE of Blenheim, New Zealand"
2016-11-13T16:48:12.840Z,33.9303333,-117.0283333,13.92,0.87,"5km W of Beaumont, CA"
2016-11-13T16:36:39.295Z,61.5134,-150.1578,46.6,1.6,"10km W of Big Lake, Alaska"
2016-11-13T16:23:45.490Z,-41.9663,174.0567,13.79,4.3,"50km S of Blenheim, New Zealand"
2016-11-13T16:16:58.555Z,59.5959,-152.8088,98.4,2,"58km WSW of Anchor Point, Alaska"
2016-11-13T16:11:24.329Z,65.374,-144.9887,0,1.7,"17km SW of Circle Hot Springs Station, Alaska"
2016-11-13T16:08:53.890Z,-42.4951,173.3271,17.87,4.4,"30km WSW of Kaikoura, New Zealand"
2016-11-13T16:03:47.029Z,62.7956,-148.8583,64.2,1.2,"66km S of Cantwell, Alaska"
2016-11-13T15:58:01.200Z,-41.7294,174.246,13.07,4.5,"34km SE of Blenheim, New Zealand"
2016-11-13T15:57:05.060Z,33.9965,-116.9868333,16.64,1.04,"6km E of Calimesa, CA"
2016-11-13T15:55:39.154Z,36.7242,-116.6727,0,0,"21km SSE of Beatty, Nevada"
2016-11-13T15:42:49.250Z,-37.1015,178.8372,19.13,5.1,"175km NE of Opotiki, New Zealand"
2016-11-13T15:39:49.212Z,37.2858,-118.3571,4,1.3,"9km SSE of Bishop, CA"
2016-11-13T15:33:03.130Z,-41.8691,174.3031,11.71,5.1,"48km SE of Blenheim, New Zealand"
2016-11-13T15:31:20.370Z,19.1558342,-155.5123291,44.03,2.15,"6km SSW of Pahala, Hawaii"
2016-11-13T15:30:54.230Z,19.1585007,-155.5293274,49.01,2,"7km SW of Pahala, Hawaii"
2016-11-13T15:20:41.620Z,34.5273333,-118.1176667,9.67,1.03,"3km N of Vincent, CA"
2016-11-13T14:54:22.978Z,64.2361,-148.5378,11.3,0.7,"47km NNE of Healy, Alaska"
2016-11-13T14:50:38.370Z,-28.8827,-71.5608,20.53,4.8,"85km WSW of Vallenar, Chile"
2016-11-13T14:46:32.740Z,38.8376656,-122.7720032,1.39,0.8,"4km WNW of Cobb, CA"
2016-11-13T14:43:59.270Z,38.8301659,-122.8493347,2.26,2.1,"9km NW of The Geysers, CA"
2016-11-13T14:34:20.550Z,34.0358333,-117.5315,2.26,0.75,"5km NNW of Mira Loma, CA"
2016-11-13T14:23:46.744Z,65.5895,-148.1537,0,1.6,"83km N of College, Alaska"
2016-11-13T14:18:32.350Z,36.4756,70.4134,147.64,4.5,"50km ESE of Farkhar, Afghanistan"
2016-11-13T14:15:47.290Z,-41.9427,174.0833,10,4.2,"48km SSE of Blenheim, New Zealand"
2016-11-13T14:01:01.790Z,-28.872,-67.4683,110.24,5.7,"32km N of Chilecito, Argentina"
2016-11-13T13:49:59.170Z,-41.7811,174.3646,10.33,5.2,"45km SE of Blenheim, New Zealand"
2016-11-13T13:45:11.773Z,38.4732,-118.36,4.2,0.7,"23km ESE of Hawthorne, Nevada"
2016-11-13T13:31:26.630Z,-42.2914,173.6933,8.29,6.2,"12km N of Kaikoura, New Zealand"
2016-11-13T13:26:08.590Z,36.7399,-98.0225,5,2.5,"26km WSW of Medford, Oklahoma"
2016-11-13T13:21:12.500Z,-41.8159,174.2091,10,5.3,"39km SSE of Blenheim, New Zealand"
2016-11-13T13:12:30.660Z,-41.8566,174.0259,20.92,4.9,"38km S of Blenheim, New Zealand"
2016-11-13T13:10:11.302Z,51.7695,179.4736,138.2,3.4,"22km SSW of Semisopochnoi Island, Alaska"
2016-11-13T12:52:19.190Z,-42.232,173.6438,4.92,4.9,"19km N of Kaikoura, New Zealand"
2016-11-13T12:38:38.880Z,-41.6951,174.222,19.4,5.2,"29km SE of Blenheim, New Zealand"
2016-11-13T12:37:45.360Z,-42.3911,173.3647,10,5.2,"26km W of Kaikoura, New Zealand"
2016-11-13T12:37:16.130Z,-17.4442,-174.1895,97.12,4.7,"135km N of Neiafu, Tonga"
2016-11-13T12:31:37.400Z,19.2166672,-155.4483337,39.28,1.76,"3km ENE of Pahala, Hawaii"
2016-11-13T12:30:38.148Z,68.5313,-144.8161,8.8,2.5,"54km NNE of Arctic Village, Alaska"
2016-11-13T12:25:55.460Z,-42.712,172.8343,9.58,5.2,"51km N of Amberley, New Zealand"
2016-11-13T12:20:44.270Z,-42.2839,173.4519,10.46,4.9,"23km NW of Kaikoura, New Zealand"
2016-11-13T12:12:09.477Z,63.2717,-145.5167,9.5,1.2,"68km SSW of Deltana, Alaska"
2016-11-13T12:12:06.356Z,62.1736,-151.1409,83.9,1.7,"56km WSW of Talkeetna, Alaska"
2016-11-13T12:04:15.560Z,-41.684,174.4913,13.67,5,"46km SSW of Brooklyn, New Zealand"
2016-11-13T11:52:45.170Z,-42.1985,173.6145,16.04,6.1,"23km NNW of Kaikoura, New Zealand"
2016-11-13T11:41:49.100Z,-41.7875,174.1117,10,5.7,"32km SSE of Blenheim, New Zealand"
